@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
53,67782,71,67905,93,0.998632,0.998954,0.499547,0.998954,0.500453,0.666031,0.998793,1.000161,0.125714
54,67781,72,67905,93,0.998632,0.998939,0.499543,0.998939,0.500457,0.666025,0.998785,1.000154,0.126
55,67781,72,67904,94,0.998618,0.998939,0.499547,0.998939,0.500453,0.666028,0.998778,1.000161,0.126178
56,67781,72,67903,95,0.998603,0.998939,0.49955,0.998939,0.50045,0.666031,0.998771,1.000168,0.1275
57,67781,72,67902,96,0.998588,0.998939,0.499554,0.998939,0.500446,0.666035,0.998763,1.000176,0.128
58,67781,72,67901,97,0.998573,0.998939,0.499558,0.998939,0.500442,0.666038,0.998756,1.000183,0.128406
59,67781,72,67900,98,0.998559,0.998939,0.499561,0.998939,0.500439,0.666041,0.998749,1.00019,0.128905
60,67780,73,67900,98,0.998559,0.998924,0.499558,0.998924,0.500442,0.666035,0.998741,1.000183,0.12963
61,67779,74,67900,98,0.998559,0.998909,0.499554,0.998909,0.500446,0.666028,0.998734,1.000176,0.13
62,67777,76,67899,99,0.998544,0.99888,0.49955,0.99888,0.50045,0.666018,0.998712,1.000168,0.13125
63,67776,77,67899,99,0.998544,0.998865,0.499547,0.998865,0.500453,0.666012,0.998704,1.000161,0.131667
64,67775,78,67898,100,0.998529,0.99885,0.499547,0.99885,0.500453,0.666008,0.99869,1.000161,0.131765
65,67775,78,67897,101,0.998515,0.99885,0.49955,0.99885,0.50045,0.666012,0.998682,1.000168,0.132308
66,67775,78,67896,102,0.9985,0.99885,0.499554,0.99885,0.500446,0.666015,0.998675,1.000176,0.134286
67,67774,79,67896,102,0.9985,0.998836,0.49955,0.998836,0.50045,0.666008,0.998668,1.000168,0.134444
68,67773,80,67896,102,0.9985,0.998821,0.499547,0.998821,0.500453,0.666002,0.99866,1.000161,0.135
69,67773,80,67894,104,0.998471,0.998821,0.499554,0.998821,0.500446,0.666008,0.998646,1.000176,0.135556
70,67773,80,67893,105,0.998456,0.998821,0.499558,0.998821,0.500442,0.666012,0.998638,1.000183,0.137333
71,67773,80,67892,106,0.998441,0.998821,0.499561,0.998821,0.500439,0.666015,0.998631,1.00019,0.138
72,67773,80,67890,108,0.998412,0.998821,0.499569,0.998821,0.500431,0.666021,0.998616,1.000205,0.14
73,67720,133,67830,168,0.997529,0.99804,0.499594,0.99804,0.500406,0.66587,0.997784,1.000256,0.140978
74,67719,134,67830,168,0.997529,0.998025,0.499591,0.998025,0.500409,0.665864,0.997777,1.000249,0.141275
75,67719,134,67829,169,0.997515,0.998025,0.499594,0.998025,0.500406,0.665867,0.99777,1.000256,0.142
76,67719,134,67828,170,0.9975,0.998025,0.499598,0.998025,0.500402,0.66587,0.997762,1.000263,0.142349
77,67718,135,67828,170,0.9975,0.99801,0.499594,0.99801,0.500406,0.665864,0.997755,1.000256,0.1424
