@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
1229,9139,58714,2971,65027,0.043692,0.134688,0.754666,0.134688,0.245334,0.228581,0.089142,1.510944,0.765957
1230,9109,58744,2961,65037,0.043545,0.134246,0.754681,0.134246,0.245319,0.227944,0.088847,1.510975,0.766234
1231,9023,58830,2921,65077,0.042957,0.132979,0.755442,0.132979,0.244558,0.226149,0.08792,1.512498,0.766667
1232,8985,58868,2899,65099,0.042634,0.132419,0.756059,0.132419,0.243941,0.225366,0.087478,1.513733,0.767442
1233,8924,58929,2873,65125,0.042251,0.13152,0.756464,0.13152,0.243536,0.22408,0.086838,1.514544,0.767677
1234,8890,58963,2861,65137,0.042075,0.131019,0.756531,0.131019,0.243469,0.223356,0.086499,1.514679,0.767742
1235,8839,59014,2842,65156,0.041795,0.130267,0.756699,0.130267,0.243301,0.22227,0.085984,1.515015,0.767857
1236,8817,59036,2830,65168,0.041619,0.129943,0.757019,0.129943,0.242981,0.221811,0.085734,1.515656,0.769231
1237,8681,59172,2783,65215,0.040928,0.127938,0.75724,0.127938,0.24276,0.218894,0.084387,1.516098,0.769841
1238,8633,59220,2767,65231,0.040692,0.127231,0.757281,0.127231,0.242719,0.217859,0.083915,1.51618,0.77027
1239,8610,59243,2754,65244,0.040501,0.126892,0.757656,0.126892,0.242344,0.217378,0.08365,1.516931,0.770492
1240,8592,59261,2748,65250,0.040413,0.126627,0.757672,0.126627,0.242328,0.216989,0.083474,1.516963,0.770833
1241,8564,59289,2739,65259,0.040281,0.126214,0.757675,0.126214,0.242325,0.216383,0.083201,1.516969,0.771429
1242,8407,59446,2671,65327,0.039281,0.1239,0.758891,0.1239,0.241109,0.213021,0.081545,1.519405,0.771739
1243,8368,59485,2662,65336,0.039148,0.123325,0.758658,0.123325,0.241342,0.212162,0.081192,1.518938,0.772277
1244,8330,59523,2645,65353,0.038898,0.122765,0.758998,0.122765,0.241002,0.211346,0.080787,1.519617,0.772727
1245,8252,59601,2607,65391,0.038339,0.121616,0.759923,0.121616,0.240077,0.209676,0.079933,1.521469,0.773585
1246,8214,59639,2601,65397,0.038251,0.121056,0.759501,0.121056,0.240499,0.208827,0.079609,1.520624,0.773973
1247,8162,59691,2579,65419,0.037928,0.120289,0.759892,0.120289,0.240108,0.2077,0.079065,1.521408,0.774194
1248,8036,59817,2497,65501,0.036722,0.118432,0.762936,0.118432,0.237064,0.205037,0.077533,1.527501,0.774648
1249,8021,59832,2488,65510,0.036589,0.118211,0.763251,0.118211,0.236749,0.204717,0.077357,1.528132,0.774775
1250,7967,59886,2473,65525,0.036369,0.117416,0.763123,0.117416,0.236877,0.203518,0.076849,1.527876,0.77551
1251,7884,59969,2447,65551,0.035986,0.116192,0.76314,0.116192,0.23686,0.201678,0.076047,1.527911,0.777027
1252,7835,60018,2420,65578,0.035589,0.11547,0.764018,0.11547,0.235982,0.20062,0.075487,1.529668,0.777778
1253,7696,60157,2348,65650,0.03453,0.113422,0.766229,0.113422,0.233771,0.197594,0.073934,1.534095,0.779412
1254,7664,60189,2338,65660,0.034383,0.11295,0.766247,0.11295,0.233753,0.196879,0.073625,1.534131,0.779661
1255,7626,60227,2324,65674,0.034177,0.11239,0.766432,0.11239,0.233568,0.196034,0.073242,1.534502,0.78
1256,7590,60263,2305,65693,0.033898,0.111859,0.767054,0.111859,0.232946,0.195246,0.072837,1.535747,0.780488
1257,7553,60300,2283,65715,0.033575,0.111314,0.767893,0.111314,0.232107,0.194442,0.072403,1.537428,0.78125
1258,7516,60337,2269,65729,0.033369,0.110769,0.768114,0.110769,0.231886,0.193617,0.072027,1.53787,0.781818
1259,7483,60370,2252,65746,0.033119,0.110283,0.76867,0.110283,0.23133,0.192891,0.071659,1.538982,0.782051
1260,7449,60404,2244,65754,0.033001,0.109781,0.768493,0.109781,0.231507,0.192118,0.07135,1.538628,0.782609
