@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
850,34277,33576,20150,47848,0.296332,0.505166,0.629779,0.505166,0.370221,0.560631,0.400637,1.260904,0.564103
851,34182,33671,20060,47938,0.295009,0.503765,0.630176,0.503765,0.369824,0.559925,0.399276,1.261698,0.564246
852,34160,33693,20042,47956,0.294744,0.503441,0.630235,0.503441,0.369765,0.559748,0.398981,1.261817,0.564516
853,34146,33707,20032,47966,0.294597,0.503235,0.630256,0.503235,0.369744,0.559628,0.398805,1.261858,0.565217
854,34062,33791,19946,48052,0.293332,0.501997,0.630684,0.501997,0.369316,0.55903,0.397553,1.262716,0.565574
855,33997,33856,19894,48104,0.292567,0.501039,0.630847,0.501039,0.369153,0.5585,0.396692,1.263043,0.565891
856,33960,33893,19855,48143,0.291994,0.500494,0.631051,0.500494,0.368949,0.55824,0.396133,1.26345,0.566038
857,33945,33908,19848,48150,0.291891,0.500273,0.63103,0.500273,0.36897,0.558095,0.395971,1.263409,0.566667
858,33840,34013,19737,48261,0.290259,0.498725,0.631614,0.498725,0.368386,0.557358,0.394381,1.264578,0.567164
859,33818,34035,19716,48282,0.28995,0.498401,0.631711,0.498401,0.368289,0.557193,0.394064,1.264771,0.567568
860,33762,34091,19670,48328,0.289273,0.497576,0.631869,0.497576,0.368131,0.556738,0.393313,1.265087,0.568182
861,33687,34166,19593,48405,0.288141,0.49647,0.632264,0.49647,0.367736,0.556199,0.392194,1.265878,0.568627
862,33665,34188,19559,48439,0.287641,0.496146,0.632515,0.496146,0.367485,0.556092,0.391782,1.266382,0.568966
863,33638,34215,19544,48454,0.28742,0.495748,0.632507,0.495748,0.367493,0.555839,0.391473,1.266366,0.570313
864,33605,34248,19504,48494,0.286832,0.495262,0.632755,0.495262,0.367245,0.555629,0.390936,1.266863,0.570423
865,33578,34275,19466,48532,0.286273,0.494864,0.633022,0.494864,0.366978,0.555481,0.390457,1.267396,0.570627
866,32996,34857,18977,49021,0.279082,0.486287,0.634868,0.486287,0.365132,0.550732,0.382574,1.271093,0.571429
867,32909,34944,18878,49120,0.277626,0.485004,0.635468,0.485004,0.364532,0.550134,0.381204,1.272295,0.572727
868,32882,34971,18857,49141,0.277317,0.484606,0.635536,0.484606,0.364464,0.549903,0.380851,1.27243,0.572816
869,32853,35000,18823,49175,0.276817,0.484179,0.63575,0.484179,0.36425,0.549708,0.380387,1.272858,0.57377
870,32841,35012,18809,49189,0.276611,0.484002,0.635837,0.484002,0.364163,0.549626,0.380196,1.273034,0.573789
871,32765,35088,18753,49245,0.275788,0.482882,0.635991,0.482882,0.364009,0.548961,0.379224,1.273342,0.573964
872,32745,35108,18718,49280,0.275273,0.482587,0.636282,0.482587,0.363718,0.548879,0.378819,1.273924,0.574074
873,32736,35117,18711,49287,0.27517,0.482455,0.636305,0.482455,0.363695,0.548801,0.378702,1.27397,0.574468
874,32723,35130,18701,49297,0.275023,0.482263,0.636337,0.482263,0.363663,0.548689,0.378532,1.274034,0.575
