@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,67853,0,67998,0,1,1,0.499466,1,0.500534,0.666192,1,1,0
1,67849,4,67960,38,0.999441,0.999941,0.499591,0.999941,0.500409,0.66629,0.999691,1.00025,0.071429
2,67846,7,67951,47,0.999309,0.999897,0.499613,0.999897,0.500387,0.6663,0.999603,1.000294,0.076923
3,67844,9,67950,48,0.999294,0.999867,0.49961,0.999867,0.50039,0.66629,0.99958,1.000287,0.1
4,67843,10,67939,59,0.999132,0.999853,0.499646,0.999853,0.500354,0.66632,0.999492,1.000361,0.102564
5,67842,11,67929,69,0.998985,0.999838,0.49968,0.999838,0.50032,0.666346,0.999411,1.000427,0.142857
6,67837,16,67925,73,0.998926,0.999764,0.499676,0.999764,0.500324,0.666326,0.999345,1.00042,0.148148
7,67831,22,67908,90,0.998676,0.999676,0.499716,0.999676,0.500284,0.666342,0.999176,1.000501,0.166667
8,67830,23,67906,92,0.998647,0.999661,0.49972,0.999661,0.50028,0.666342,0.999153,1.000508,0.183333
9,67821,32,67885,113,0.998338,0.999528,0.499764,0.999528,0.500236,0.666352,0.998933,1.000596,0.185185
10,67811,42,67872,126,0.998147,0.999381,0.499775,0.999381,0.500225,0.666329,0.998763,1.000618,0.188034
11,67798,55,67827,171,0.997485,0.999189,0.499893,0.999189,0.500107,0.666391,0.998336,1.000854,0.189189
12,67790,63,67807,191,0.997191,0.999072,0.499937,0.999072,0.500063,0.666405,0.99813,1.000943,0.190476
13,67785,68,67805,193,0.997162,0.998998,0.499926,0.998998,0.500074,0.666378,0.998079,1.000921,0.193548
14,67776,77,67785,213,0.996868,0.998865,0.499967,0.998865,0.500033,0.666385,0.997865,1.001002,0.196078
15,67771,82,67766,232,0.996588,0.998792,0.500018,0.998792,0.499982,0.666414,0.997689,1.001105,0.196262
16,67759,94,67718,280,0.995882,0.998615,0.500151,0.998615,0.499849,0.666493,0.997247,1.001371,0.2
17,67757,96,67717,281,0.995868,0.998585,0.500148,0.998585,0.499852,0.666483,0.997225,1.001364,0.205021
18,67731,122,67642,356,0.994765,0.998202,0.500329,0.998202,0.499671,0.666558,0.996481,1.001727,0.208333
19,67721,132,67603,395,0.994191,0.998055,0.500436,0.998055,0.499564,0.666621,0.996121,1.001941,0.214286
20,67715,138,67594,404,0.994059,0.997966,0.500447,0.997966,0.499553,0.666611,0.99601,1.001964,0.217391
21,67700,153,67544,454,0.993323,0.997745,0.500577,0.997745,0.499423,0.666677,0.995532,1.002223,0.22449
22,67696,157,67522,476,0.993,0.997686,0.500643,0.997686,0.499357,0.666722,0.99534,1.002357,0.225
23,67690,163,67513,485,0.992867,0.997598,0.500655,0.997598,0.499345,0.666713,0.99523,1.002379,0.226087
24,67681,172,67462,536,0.992117,0.997465,0.50081,0.997465,0.49919,0.666821,0.994788,1.002691,0.230769
25,67658,195,67417,581,0.991456,0.997126,0.500892,0.997126,0.499108,0.666818,0.994288,1.002855,0.234177
26,67635,218,67353,645,0.990514,0.996787,0.501045,0.996787,0.498955,0.666877,0.993647,1.00316,0.238095
27,67630,223,67330,668,0.990176,0.996713,0.501111,0.996713,0.498889,0.66692,0.993441,1.003294,0.23913
28,67616,237,67320,678,0.990029,0.996507,0.501097,0.996507,0.498903,0.666861,0.993265,1.003264,0.24
29,67604,249,67292,706,0.989617,0.99633,0.501156,0.99633,0.498844,0.666874,0.99297,1.003384,0.243243
